municipality,zip_code,ev_count
ALDEN,60001,0
ANTIOCH,60002,65
ARLINGTON HEIGHTS,60004,233
ARLINGTON HEIGHTS,60005,145
ARLINGTON HEIGHTS,60006,0
ELK GROVE VILLAGE,60007,153
ROLLING MEADOWS,60008,71
ELK GROVE VILLAGE,60009,0
BARRINGTON,60010,697
BARRINGTON,60011,0
CRYSTAL LAKE,60012,63
CARY,60013,89
CRYSTAL LAKE,60014,166
DEERFIELD,60015,464
DES PLAINES,60016,198
DES PLAINES,60017,0
DES PLAINES,60018,96
DES PLAINES,60019,0
FOX LAKE,60020,21
FOX RIVER GROVE,60021,29
GLENCOE,60022,276
GLENVIEW,60025,353
GLENVIEW,60026,199
GOLF,60029,15
GRAYSLAKE,60030,137
GURNEE,60031,205
HARVARD,60033,14
HEBRON,60034,4
HIGHLAND PARK,60035,842
FORT SHERIDAN,60037,0
PALATINE,60038,0
CRYSTAL LAKE,60039,2
HIGHWOOD,60040,25
INGLESIDE,60041,12
ISLAND LAKE,60042,17
KENILWORTH,60043,50
LAKE BLUFF,60044,112
LAKE FOREST,60045,329
LAKE VILLA,60046,110
LAKE ZURICH,60047,451
LIBERTYVILLE,60048,299
LONG GROVE,60049,0
MCHENRY,60050,54
MCHENRY,60051,55
METTAWA,60052,1
MORTON GROVE,60053,154
PALATINE,60055,1
MOUNT PROSPECT,60056,158
MOUNT PROSPECT,60057,0
MOUNT PROSPECT,60058,0
MUNDELEIN,60060,158
VERNON HILLS,60061,240
NORTHBROOK,60062,635
NORTH CHICAGO,60064,8
NORTHBROOK,60065,0
PALATINE,60067,297
PARK RIDGE,60068,267
LINCOLNSHIRE,60069,140
PROSPECT HEIGHTS,60070,40
RICHMOND,60071,18
RINGWOOD,60072,6
ROUND LAKE,60073,123
PALATINE,60074,88
RUSSELL,60075,1
SKOKIE,60076,160
SKOKIE,60077,105
PALATINE,60078,1
WAUKEGAN,60079,0
SPRING GROVE,60081,27
TECHNY,60082,0
WADSWORTH,60083,62
WAUCONDA,60084,63
WAUKEGAN,60085,47
NORTH CHICAGO,60086,0
WAUKEGAN,60087,33
GREAT LAKES,60088,2
BUFFALO GROVE,60089,328
WHEELING,60090,123
WILMETTE,60091,418
LIBERTYVILLE,60092,0
WINNETKA,60093,418
PALATINE,60094,0
PALATINE,60095,0
WINTHROP HARBOR,60096,11
WONDER LAKE,60097,17
WOODSTOCK,60098,85
ZION,60099,29
ADDISON,60101,100
ALGONQUIN,60102,110
BARTLETT,60103,232
BELLWOOD,60104,10
BENSENVILLE,60105,0
BENSENVILLE,60106,36
STREAMWOOD,60107,136
BLOOMINGDALE,60108,140
BURLINGTON,60109,0
CARPENTERSVILLE,60110,71
CLARE,60111,1
CORTLAND,60112,7
CRESTON,60113,2
DEKALB,60115,61
CAROL STREAM,60116,0
BLOOMINGDALE,60117,0
DUNDEE,60118,75
ELBURN,60119,48
ELGIN,60120,86
ELGIN,60121,2
CAROL STREAM,60122,0
ELGIN,60123,71
ELGIN,60124,143
CAROL STREAM,60125,0
ELMHURST,60126,413
CAROL STREAM,60128,0
ESMOND,60129,0
FOREST PARK,60130,46
FRANKLIN PARK,60131,34
CAROL STREAM,60132,0
HANOVER PARK,60133,73
GENEVA,60134,184
GENOA,60135,8
GILBERTS,60136,43
GLEN ELLYN,60137,295
GLEN ELLYN,60138,0
GLENDALE HEIGHTS,60139,65
HAMPSHIRE,60140,75
HINES,60141,0
HUNTLEY,60142,115
ITASCA,60143,76
KANEVILLE,60144,0
KINGSTON,60145,4
KIRKLAND,60146,1
LAFOX,60147,0
LOMBARD,60148,289
MALTA,60150,2
MAPLE PARK,60151,5
MARENGO,60152,26
MAYWOOD,60153,19
WESTCHESTER,60154,36
BROADVIEW,60155,12
LAKE IN THE HILLS,60156,84
MEDINAH,60157,21
SCHAUMBURG,60159,0
MELROSE PARK,60160,24
MELROSE PARK,60161,0
HILLSIDE,60162,18
BERKELEY,60163,6
MELROSE PARK,60164,22
STONE PARK,60165,4
SCHAUMBURG,60168,1
HOFFMAN ESTATES,60169,103
PLATO CENTER,60170,0
RIVER GROVE,60171,15
ROSELLE,60172,105
SCHAUMBURG,60173,149
SAINT CHARLES,60174,158
SAINT CHARLES,60175,183
SCHILLER PARK,60176,23
SOUTH ELGIN,60177,81
SYCAMORE,60178,42
HOFFMAN ESTATES,60179,0
UNION,60180,2
VILLA PARK,60181,111
WASCO,60183,1
WAYNE,60184,29
WEST CHICAGO,60185,122
WEST CHICAGO,60186,0
WHEATON,60187,134
CAROL STREAM,60188,142
WHEATON,60189,167
WINFIELD,60190,78
WOOD DALE,60191,50
HOFFMAN ESTATES,60192,144
SCHAUMBURG,60193,181
SCHAUMBURG,60194,92
SCHAUMBURG,60195,16
SCHAUMBURG,60196,1
CAROL STREAM,60197,0
CAROL STREAM,60199,0
EVANSTON,60201,309
EVANSTON,60202,220
EVANSTON,60203,39
EVANSTON,60204,0
EVANSTON,60208,13
EVANSTON,60209,0
MCHENRY,60296,0
MCHENRY,60297,0
OAK PARK,60301,21
OAK PARK,60302,329
OAK PARK,60303,0
OAK PARK,60304,123
RIVER FOREST,60305,118
FRANKLIN PARK,60398,0
