municipality,zip_code,ev_count
MORRIS,60450,40
NEW LENOX,60451,88
OAK FOREST,60452,39
OAK LAWN,60453,90
OAK LAWN,60454,0
BRIDGEVIEW,60455,34
HOMETOWN,60456,2
HICKORY HILLS,60457,37
JUSTICE,60458,13
BURBANK,60459,41
ODELL,60460,0
OLYMPIA FIELDS,60461,27
ORLAND PARK,60462,182
PALOS HEIGHTS,60463,52
PALOS PARK,60464,72
PALOS HILLS,60465,50
PARK FOREST,60466,18
ORLAND PARK,60467,181
PEOTONE,60468,9
POSEN,60469,3
RANSOM,60470,0
RICHTON PARK,60471,11
ROBBINS,60472,0
SOUTH HOLLAND,60473,38
SOUTH WILMINGTON,60474,0
STEGER,60475,9
THORNTON,60476,6
TINLEY PARK,60477,82
COUNTRY CLUB HILLS,60478,25
VERONA,60479,0
WILLOW SPRINGS,60480,34
WILMINGTON,60481,16
WORTH,60482,7
TINLEY PARK,60483,0
UNIVERSITY PARK,60484,6
TINLEY PARK,60487,81
BOLINGBROOK,60490,165
HOMER GLEN,60491,111
BEDFORD PARK,60499,0
SUMMIT ARGO,60501,10
AURORA,60502,203
AURORA,60503,79
AURORA,60504,189
AURORA,60505,37
AURORA,60506,85
AURORA,60507,2
BATAVIA,60510,148
BIG ROCK,60511,1
BRISTOL,60512,4
BROOKFIELD,60513,45
CLARENDON HILLS,60514,120
DOWNERS GROVE,60515,232
DOWNERS GROVE,60516,132
WOODRIDGE,60517,161
EARLVILLE,60518,6
EOLA,60519,0
HINCKLEY,60520,2
HINSDALE,60521,445
HINSDALE,60522,1
OAK BROOK,60523,329
LA GRANGE,60525,207
LA GRANGE PARK,60526,74
WILLOWBROOK,60527,422
LEE,60530,0
LELAND,60531,3
LISLE,60532,202
LYONS,60534,12
MILLBROOK,60536,1
MILLINGTON,60537,0
MONTGOMERY,60538,54
MOOSEHEART,60539,0
NAPERVILLE,60540,482
NEWARK,60541,6
NORTH AURORA,60542,49
OSWEGO,60543,144
PLAINFIELD,60544,109
PLANO,60545,22
RIVERSIDE,60546,105
SANDWICH,60548,11
SERENA,60549,1
SHABBONA,60550,5
SHERIDAN,60551,2
SOMONAUK,60552,7
STEWARD,60553,1
SUGAR GROVE,60554,57
WARRENVILLE,60555,69
WATERMAN,60556,6
WEDRON,60557,0
WESTERN SPRINGS,60558,146
WESTMONT,60559,144
YORKVILLE,60560,88
DARIEN,60561,154
NAPERVILLE,60563,305
NAPERVILLE,60564,604
NAPERVILLE,60565,347
NAPERVILLE,60566,1
NAPERVILLE,60567,0
AURORA,60568,0
HINSDALE,60570,0
AURORA,60572,0
PLAINFIELD,60585,219
PLAINFIELD,60586,141
FOX VALLEY,60597,0
AURORA,60598,0
FOX VALLEY,60599,0
CHICAGO,60601,145
CHICAGO,60602,26
CHICAGO,60603,23
CHICAGO,60604,7
CHICAGO,60605,233
CHICAGO,60606,70
CHICAGO,60607,252
CHICAGO,60608,144
CHICAGO,60609,68
CHICAGO,60610,270
CHICAGO,60611,325
CHICAGO,60612,107
CHICAGO,60613,221
CHICAGO,60614,657
CHICAGO,60615,131
CHICAGO,60616,193
CHICAGO,60617,41
CHICAGO,60618,391
CHICAGO,60619,34
CHICAGO,60620,35
CHICAGO,60621,8
CHICAGO,60622,428
CHICAGO,60623,21
CHICAGO,60624,17
CHICAGO,60625,214
CHICAGO,60626,83
CHICAGO,60628,24
CHICAGO,60629,42
CHICAGO,60630,141
CHICAGO,60631,72
CHICAGO,60632,56
CHICAGO,60633,14
CHICAGO,60634,107
CHICAGO,60636,3
CHICAGO,60637,59
CHICAGO,60638,51
CHICAGO,60639,42
CHICAGO,60640,188
CHICAGO,60641,135
CHICAGO,60643,85
CHICAGO,60644,13
CHICAGO,60645,74
CHICAGO,60646,128
CHICAGO,60647,402
CHICAGO,60649,34
CHICAGO,60651,36
CHICAGO,60652,22
CHICAGO,60653,78
CHICAGO,60654,210
CHICAGO,60655,31
CHICAGO,60656,60
CHICAGO,60657,405
CHICAGO,60659,48
CHICAGO,60660,109
CHICAGO,60661,126
CHICAGO,60663,0
CHICAGO,60664,1
CHICAGO,60666,2
CHICAGO,60668,0
CHICAGO,60669,0
CHICAGO,60670,0
CHICAGO,60673,0
CHICAGO,60674,0
CHICAGO,60675,0
CHICAGO,60677,0
CHICAGO,60678,0
CHICAGO,60679,0
CHICAGO,60680,0
CHICAGO,60681,1
CHICAGO,60682,0
CHICAGO,60684,0
CHICAGO,60685,0
CHICAGO,60686,0
CHICAGO,60687,0
CHICAGO,60688,0
CHICAGO,60689,0
CHICAGO,60690,0
CHICAGO,60691,0
CHICAGO,60693,1
CHICAGO,60694,0
CHICAGO,60695,0
CHICAGO,60696,0
CHICAGO,60697,0
CHICAGO,60699,0
CHICAGO,60701,0
HARWOOD HEIGHTS,60706,51
ELMWOOD PARK,60707,76
LINCOLNWOOD,60712,141
NILES,60714,78
ALSIP,60803,24
CICERO,60804,42
EVERGREEN PARK,60805,31
RIVERDALE,60827,7
KANKAKEE,60901,25
AROMA PARK,60910,0
ASHKUM,60911,1
BEAVERVILLE,60912,0
BONFIELD,60913,1
BOURBONNAIS,60914,47
BRADLEY,60915,2
BUCKINGHAM,60917,0
BUCKLEY,60918,0
CABERY,60919,1
CAMPUS,60920,0
CHATSWORTH,60921,1
CHEBANSE,60922,0
CISSNA PARK,60924,1
CLAYTONVILLE,60926,0
CLIFTON,60927,1
CRESCENT CITY,60928,0
CULLOM,60929,0
DANFORTH,60930,1
DONOVAN,60931,0
EAST LYNN,60932,0
ELLIOTT,60933,0
EMINGTON,60934,0
ESSEX,60935,1
GIBSON CITY,60936,1
GILMAN,60938,4
GOODWINE,60939,0
GRANT PARK,60940,2
HERSCHER,60941,1
HOOPESTON,60942,7
HOPKINS PARK,60944,0
IROQUOIS,60945,0
KEMPTON,60946,1
LODA,60948,4
LUDLOW,60949,0
MANTENO,60950,21
MARTINTON,60951,0
MELVIN,60952,0
MILFORD,60953,0
MOMENCE,60954,6
ONARGA,60955,1
PAPINEAU,60956,0
PAXTON,60957,3
PEMBROKE TOWNSHIP,60958,4
PIPER CITY,60959,3
RANKIN,60960,2
REDDICK,60961,0
ROBERTS,60962,0
ROSSVILLE,60963,0
SAINT ANNE,60964,3
SHELDON,60966,0
STOCKLAND,60967,0
THAWVILLE,60968,1
UNION HILL,60969,0
WATSEKA,60970,7
WELLINGTON,60973,0
WOODLAND,60974,0
APPLE RIVER,61001,2
ASHTON,61006,3
BAILEYVILLE,61007,0
BELVIDERE,61008,57
BYRON,61010,11
CALEDONIA,61011,6
CAPRON,61012,2
CEDARVILLE,61013,0
CHADWICK,61014,2
CHANA,61015,0
CHERRY VALLEY,61016,11
DAKOTA,61018,0
DAVIS,61019,5
DAVIS JUNCTION,61020,4
DIXON,61021,18
DURAND,61024,0
EAST DUBUQUE,61025,9
ELEROY,61027,0
ELIZABETH,61028,1
FORRESTON,61030,0
FRANKLIN GROVE,61031,1
FREEPORT,61032,22
GALENA,61036,24
GALT,61037,0
GARDEN PRAIRIE,61038,0
GERMAN VALLEY,61039,0
HANOVER,61041,3
HARMON,61042,0
HOLCOMB,61043,0
KENT,61044,0
LANARK,61046,2
LEAF RIVER,61047,4
LENA,61048,1
LINDENWOOD,61049,0
MC CONNELL,61050,0
MILLEDGEVILLE,61051,0
MONROE CENTER,61052,0
MOUNT CARROLL,61053,0
MOUNT MORRIS,61054,1
NACHUSA,61057,0
NELSON,61058,0
NORA,61059,0
ORANGEVILLE,61060,0
OREGON,61061,20
PEARL CITY,61062,1
PECATONICA,61063,5
POLO,61064,1
POPLAR GROVE,61065,18
RIDOTT,61067,1
ROCHELLE,61068,9
ROCK CITY,61070,1
ROCK FALLS,61071,11
ROCKTON,61072,20
ROSCOE,61073,36
SAVANNA,61074,3
SCALES MOUND,61075,5
SEWARD,61077,0
SHANNON,61078,0
SHIRLAND,61079,2
SOUTH BELOIT,61080,15
STERLING,61081,26
STILLMAN VALLEY,61084,4
STOCKTON,61085,1
WARREN,61087,1
WINNEBAGO,61088,9
