municipality,zip_code,ev_count
ALDEN,60001,0
ANTIOCH,60002,63
ARLINGTON HEIGHTS,60004,227
ARLINGTON HEIGHTS,60005,144
ARLINGTON HEIGHTS,60006,0
ELK GROVE VILLAGE,60007,149
ROLLING MEADOWS,60008,68
ELK GROVE VILLAGE,60009,0
BARRINGTON,60010,690
BARRINGTON,60011,0
CRYSTAL LAKE,60012,61
CARY,60013,85
CRYSTAL LAKE,60014,162
DEERFIELD,60015,450
DES PLAINES,60016,193
DES PLAINES,60017,1
DES PLAINES,60018,98
DES PLAINES,60019,0
FOX LAKE,60020,19
FOX RIVER GROVE,60021,28
GLENCOE,60022,274
GLENVIEW,60025,347
GLENVIEW,60026,196
GOLF,60029,15
GRAYSLAKE,60030,135
GURNEE,60031,204
HARVARD,60033,14
HEBRON,60034,4
HIGHLAND PARK,60035,822
FORT SHERIDAN,60037,0
PALATINE,60038,0
CRYSTAL LAKE,60039,2
HIGHWOOD,60040,26
INGLESIDE,60041,12
ISLAND LAKE,60042,16
KENILWORTH,60043,50
LAKE BLUFF,60044,106
LAKE FOREST,60045,324
LAKE VILLA,60046,102
LAKE ZURICH,60047,441
LIBERTYVILLE,60048,293
LONG GROVE,60049,0
MCHENRY,60050,53
MCHENRY,60051,55
METTAWA,60052,1
MORTON GROVE,60053,151
PALATINE,60055,1
MOUNT PROSPECT,60056,159
MOUNT PROSPECT,60057,0
MOUNT PROSPECT,60058,0
MUNDELEIN,60060,154
VERNON HILLS,60061,230
NORTHBROOK,60062,623
NORTH CHICAGO,60064,8
NORTHBROOK,60065,0
PALATINE,60067,297
PARK RIDGE,60068,251
LINCOLNSHIRE,60069,140
PROSPECT HEIGHTS,60070,39
RICHMOND,60071,18
RINGWOOD,60072,6
ROUND LAKE,60073,120
PALATINE,60074,87
RUSSELL,60075,1
SKOKIE,60076,154
SKOKIE,60077,102
PALATINE,60078,1
WAUKEGAN,60079,0
SPRING GROVE,60081,27
TECHNY,60082,0
WADSWORTH,60083,61
WAUCONDA,60084,62
WAUKEGAN,60085,47
NORTH CHICAGO,60086,0
WAUKEGAN,60087,33
GREAT LAKES,60088,2
BUFFALO GROVE,60089,321
WHEELING,60090,118
WILMETTE,60091,403
